2020/11/05 15:16:23 ======================================================
2020/11/05 15:20:28 batch 97Succ/Prec:74.0/89.7
2020/11/05 15:20:41 batch 98Succ/Prec:7.9/9.2
2020/11/05 15:20:42 batch 99Succ/Prec:65.4/89.8
2020/11/05 15:20:53 batch 100Succ/Prec:15.5/18.8
2020/11/05 15:20:54 batch 101Succ/Prec:66.3/89.2
2020/11/05 15:20:55 batch 102Succ/Prec:63.6/80.4
2020/11/05 15:20:57 batch 103Succ/Prec:54.9/82.4
2020/11/05 15:20:58 batch 104Succ/Prec:80.0/95.0
2020/11/05 15:20:58 batch 105Succ/Prec:100.0/100.0
2020/11/05 15:20:59 batch 106Succ/Prec:80.9/90.3
2020/11/05 15:21:00 batch 107Succ/Prec:93.8/98.8
2020/11/05 15:21:01 batch 108Succ/Prec:74.1/90.3
2020/11/05 15:21:02 batch 109Succ/Prec:37.9/50.8
2020/11/05 15:21:03 batch 110Succ/Prec:63.1/83.1
2020/11/05 15:21:03 batch 111Succ/Prec:84.4/94.4
2020/11/05 15:21:05 batch 112Succ/Prec:18.5/20.0
2020/11/05 15:21:06 batch 113Succ/Prec:34.9/57.0
2020/11/05 15:21:08 batch 114Succ/Prec:92.2/96.6
2020/11/05 15:21:13 batch 115Succ/Prec:13.7/16.8
2020/11/05 15:21:32 batch 116Succ/Prec:51.2/74.3
2020/11/05 15:21:57 batch 117Succ/Prec:58.6/84.1
2020/11/05 15:22:05 batch 118Succ/Prec:49.0/69.0
2020/11/05 15:22:09 batch 119Succ/Prec:58.1/80.9
2020/11/05 15:22:16 batch 120Succ/Prec:53.9/81.3
2020/11/05 15:22:16 mean Succ/Prec 56.3760896637609/74.33841843088418
